# This is part of the ZUD Plugin for Pokemon Essentials v19.1
#
# This adds or changes species' Habitat data to allow for more thorough filtering options for Max Raids and in the Max Raid Database.
# This is a completely optional file, and isn't necessary to include.
# This file will automatically be deleted after compiling.
#-----------------------
# Unique Cases
#-----------------------
# Changed from Mountain
#-----------------------
AERODACTYL = Mountain
SNORLAX = Mountain
DRATINI = WatersEdge
DRAGONAIR = WatersEdge
DRAGONITE = WatersEdge
MEW = Rare
#-------------------------------
# Canon Habitats of Gen 2 species.
#-------------------------------
CHIKORITA = Grassland
BAYLEEF = Grassland
MEGANIUM = Grassland
CYNDAQUIL = Grassland
QUILAVA = Grassland
TYPHLOSION = Grassland
TOTODILE = WatersEdge
CROCONAW = WatersEdge
FERALIGATR = WatersEdge
SENTRET = Grassland
FURRET = Grassland
HOOTHOOT = Forest
NOCTOWL = Forest
LEDYBA = Forest
LEDIAN = Forest
SPINARAK = Forest
ARIADOS = Forest
CROBAT = Cave
CHINCHOU = Sea
LANTURN = Sea
PICHU = Forest
CLEFFA = Mountain
IGGLYBUFF = Grassland
TOGEPI = Forest
TOGETIC = Forest
NATU = Forest
XATU = Forest
MAREEP = Grassland
FLAAFFY = Grassland
AMPHAROS = Grassland
BELLOSSOM = Grassland
MARILL = WatersEdge
AZUMARILL = WatersEdge
SUDOWOODO = Forest
POLITOED = WatersEdge
HOPPIP = Grassland
SKIPLOOM = Grassland
JUMPLUFF = Grassland
AIPOM = Forest
SUNKERN = Grassland
SUNFLORA = Grassland
YANMA = Forest
WOOPER = WatersEdge
QUAGSIRE = WatersEdge
ESPEON = Urban
UMBREON = Urban
MURKROW = Forest
SLOWKING = WatersEdge
MISDREAVUS = Cave
UNOWN = Rare
WOBBUFFET = Cave
GIRAFARIG = Grassland
PINECO = Forest
FORRETRESS = Forest
DUNSPARCE = Cave
GLIGAR = Mountain
STEELIX = Cave
SNUBBULL = Urban
GRANBULL = Urban
QWILFISH = Sea
SCIZOR = Grassland
SHUCKLE = Mountain
HERACROSS = Forest
SNEASEL = Forest
TEDDIURSA = Mountain
URSARING = Mountain
SLUGMA = Mountain
MAGCARGO = Mountain
SWINUB = Cave
PILOSWINE = Cave
CORSOLA = Sea
REMORAID = Sea
OCTILLERY = Sea
DELIBIRD = Mountain
MANTINE = Sea
SKARMORY = RoughTerrain
HOUNDOUR = RoughTerrain
HOUNDOOM = RoughTerrain
KINGDRA = Sea
PHANPY = RoughTerrain
DONPHAN = RoughTerrain
PORYGON2 = Urban
STANTLER = Forest
SMEARGLE = Urban
TYROGUE = Urban
HITMONTOP = Urban
SMOOCHUM = Urban
ELEKID = Grassland
MAGBY = Mountain
MILTANK = Grassland
BLISSEY = Urban
RAIKOU = Grassland
ENTEI = Grassland
SUICUNE = Grassland
LARVITAR = Mountain
PUPITAR = Mountain
TYRANITAR = Mountain
HOOH = Rare
CELEBI = Forest
#-------------------------------
# Canon Habitats of Gen 3 species.
#-------------------------------
TREECKO = Forest
GROVYLE = Forest
SCEPTILE = Forest
TORCHIC = Grassland
COMBUSKEN = Grassland
BLAZIKEN = Grassland
MUDKIP = WatersEdge
MARSHTOMP = WatersEdge
SWAMPERT = WatersEdge
POOCHYENA = Grassland
MIGHTYENA = Grassland
ZIGZAGOON = Grassland
LINOONE = Grassland
WURMPLE = Forest
SILCOON = Forest
BEAUTIFLY = Forest
CASCOON = Forest
DUSTOX = Forest
LOTAD = WatersEdge
LOMBRE = WatersEdge
LUDICOLO = WatersEdge
SEEDOT = Forest
NUZLEAF = Forest
SHIFTRY = Forest
TAILLOW = Grassland
SWELLOW = Grassland
WINGULL = Sea
PELIPPER = Sea
RALTS = Urban
KIRLIA = Urban
GARDEVOIR = Urban
SURSKIT = WatersEdge
MASQUERAIN = WatersEdge
SHROOMISH = Forest
BRELOOM = Forest
SLAKOTH = Forest
VIGOROTH = Forest
SLAKING = Forest
NINCADA = Forest
NINJASK = Forest
SHEDINJA = Forest
WHISMUR = Cave
LOUDRED = Cave
EXPLOUD = Cave
MAKUHITA = Mountain
HARIYAMA = Mountain
AZURILL = WatersEdge
NOSEPASS = Cave
SABLEYE = Cave
MAWILE = Cave
ARON = Mountain
LAIRON = Mountain
AGGRON = Mountain
MEDITITE = Mountain
MEDICHAM = Mountain
ELECTRIKE = Grassland
MANECTRIC = Grassland
PLUSLE = Grassland
MINUN = Grassland
VOLBEAT = Forest
ILLUMISE = Forest
ROSELIA = Grassland
GULPIN = Grassland
SWALOT = Grassland
CARVANHA = Sea
SHARPEDO = Sea
WAILMER = Sea
WAILORD = Sea
NUMEL = Mountain
CAMERUPT = Mountain
TORKOAL = Mountain
SPOINK = Mountain
GRUMPIG = Mountain
SPINDA = Mountain
TRAPINCH = RoughTerrain
VIBRAVA = RoughTerrain
FLYGON = RoughTerrain
CACNEA = RoughTerrain
CACTURNE = RoughTerrain
SWABLU = Forest
ALTARIA = Forest
ZANGOOSE = Grassland
SEVIPER = Grassland
LUNATONE = Cave
SOLROCK = Cave
BARBOACH = WatersEdge
WHISCASH = WatersEdge
CORPHISH = WatersEdge
CRAWDAUNT = WatersEdge
BALTOY = RoughTerrain
CLAYDOL = RoughTerrain
LILEEP = Sea
CRADILY = Sea
ANORITH = WatersEdge
ARMALDO = WatersEdge
FEEBAS = WatersEdge
MILOTIC = WatersEdge
KECLEON = Forest
SHUPPET = Urban
BANETTE = Urban
DUSKULL = Forest
DUSCLOPS = Forest
TROPIUS = Forest
ABSOL = Mountain
WYNAUT = Cave
SNORUNT = Cave
GLALIE = Cave
SPHEAL = Sea
SEALEO = Sea
WALREIN = Sea
CLAMPERL = Sea
HUNTAIL = Sea
GOREBYSS = Sea
RELICANTH = Sea
LUVDISC = Sea
BAGON = RoughTerrain
SHELGON = RoughTerrain
SALAMENCE = RoughTerrain
BELDUM = RoughTerrain
METANG = RoughTerrain
METAGROSS = RoughTerrain
REGIROCK = Cave
REGICE = Cave
REGISTEEL = Cave
LATIAS = WatersEdge
LATIOS = WatersEdge
KYOGRE = Sea
GROUDON = RoughTerrain
RAYQUAZA = Rare
JIRACHI = Mountain
DEOXYS = Rare
#-------------------------------
# Added Habitats to Gen 4 species.
#-------------------------------
TURTWIG = Forest
GROTLE = Forest
TORTERRA = Forest
CHIMCHAR = Forest
MONFERNO = Forest
INFERNAPE = Forest
PIPLUP = WatersEdge
PRINPLUP = WatersEdge
EMPOLEON = WatersEdge
STARLY = Grassland
STARAVIA = Grassland
STARAPTOR = Grassland
BIDOOF = WatersEdge
BIBAREL = WatersEdge
KRICKETOT = Grassland
KRICKETUNE = Grassland
SHINX = Grassland
LUXIO = Grassland
LUXRAY = Grassland
BUDEW = Grassland
ROSERADE = Grassland
CRANIDOS = RoughTerrain
RAMPARDOS = RoughTerrain
SHIELDON = RoughTerrain
BASTIODON = RoughTerrain
BURMY = Forest
WORMADAM = Forest
MOTHIM = Forest
COMBEE = Forest
VESPIQUEN = Forest
PACHIRISU = Forest
BUIZEL = WatersEdge
FLOATZEL = WatersEdge
CHERUBI = Forest
CHERRIM = Forest
SHELLOS = Sea
GASTRODON = Sea
AMBIPOM = Forest
DRIFLOON = Urban
DRIFBLIM = Urban
BUNEARY = Grassland
LOPUNNY = Grassland
MISMAGIUS = Cave
HONCHKROW = Forest
GLAMEOW = Urban
PURUGLY = Urban
CHINGLING = Urban
STUNKY = Grassland
SKUNTANK = Grassland
BRONZOR = Cave
BRONZONG = Cave
BONSLY = Forest
MIMEJR = Urban
HAPPINY = Urban
CHATOT = Forest
SPIRITOMB = Cave
GIBLE = Cave
GABITE = Cave
GARCHOMP = Cave
MUNCHLAX = Mountain
RIOLU = Mountain
LUCARIO = Mountain
HIPPOPOTAS = RoughTerrain
HIPPOWDON = RoughTerrain
SKORUPI = RoughTerrain
DRAPION = RoughTerrain
CROAGUNK = Forest
TOXICROAK = Forest
CARNIVINE = Forest
FINNEON = Sea
LUMINEON = Sea
MANTYKE = Sea
SNOVER = Forest
ABOMASNOW = Forest
WEAVILE = Forest
MAGNEZONE = Urban
LICKILICKY = Grassland
RHYPERIOR = RoughTerrain
TANGROWTH = Grassland
ELECTIVIRE = Grassland
MAGMORTAR = Mountain
TOGEKISS = Forest
YANMEGA = Forest
LEAFEON = Urban
GLACEON = Urban
GLISCOR = Mountain
MAMOSWINE = Cave
PORYGONZ = Urban
GALLADE = Urban
PROBOPASS = Cave
DUSKNOIR = Forest
FROSLASS = Mountain
ROTOM = Urban
UXIE = Cave
MESPRIT = Cave
AZELF = Cave
DIALGA = Rare
PALKIA = Rare
HEATRAN = Mountain
REGIGIGAS = Cave
GIRATINA = Rare
CRESSELIA = Urban
PHIONE = Sea
MANAPHY = Sea
DARKRAI = Urban
SHAYMIN = Grassland
ARCEUS = Rare
#-------------------------------
# Added Habitats to Gen 5 species.
#-------------------------------
VICTINI = Urban
SNIVY = Grassland
SERVINE = Grassland
SERPERIOR = Grassland
TEPIG = Mountain
PIGNITE = Mountain
EMBOAR = Mountain
OSHAWOTT = WatersEdge
DEWOTT = WatersEdge
SAMUROTT = WatersEdge
PATRAT = Grassland
WATCHOG = Grassland
LILLIPUP = Grassland
HERDIER = Grassland
STOUTLAND = Grassland
PURRLOIN = Urban
LIEPARD = Urban
PANSAGE = Forest
SIMISAGE = Forest
PANSEAR = Forest
SIMISEAR = Forest
PANPOUR = Forest
SIMIPOUR = Forest
MUNNA = Grassland
MUSHARNA = Grassland
PIDOVE = Urban
TRANQUILL = Urban
UNFEZANT = Urban
BLITZLE = Grassland
ZEBSTRIKA = Grassland
ROGGENROLA = Cave
BOLDORE = Cave
GIGALITH = Cave
WOOBAT = Cave
SWOOBAT = Cave
DRILBUR = Cave
EXCADRILL = Cave
AUDINO = Urban
TIMBURR = Urban
GURDURR = Urban
CONKELDURR = Urban
TYMPOLE = WatersEdge
PALPITOAD = WatersEdge
SEISMITOAD = WatersEdge
THROH = Urban
SAWK = Urban
SEWADDLE = Forest
SWADLOON = Forest
LEAVANNY = Forest
VENIPEDE = Forest
WHIRLIPEDE = Forest
SCOLIPEDE = Forest
COTTONEE = Grassland
WHIMSICOTT = Grassland
PETILIL = Grassland
LILLIGANT = Grassland
BASCULIN = Sea
SANDILE = RoughTerrain
KROKOROK = RoughTerrain
KROOKODILE = RoughTerrain
DARUMAKA = Forest
DARMANITAN = Forest
MARACTUS = RoughTerrain
DWEBBLE = WatersEdge
CRUSTLE = WatersEdge
SCRAGGY = Urban
SCRAFTY = Urban
SIGILYPH = Cave
YAMASK = Cave
COFAGRIGUS = Cave
TIRTOUGA = Sea
CARRACOSTA = Sea
ARCHEN = RoughTerrain
ARCHEOPS = RoughTerrain
TRUBBISH = Urban
GARBODOR = Urban
ZORUA = Forest
ZOROARK = Forest
MINCCINO = Grassland
CINCCINO = Grassland
GOTHITA = Urban
GOTHORITA = Urban
GOTHITELLE = Urban
SOLOSIS = Urban
DUOSION = Urban
REUNICLUS = Urban
DUCKLETT = WatersEdge
SWANNA = WatersEdge
VANILLITE = Cave
VANILLISH = Cave
VANILLUXE = Cave
DEERLING = Forest
SAWSBUCK = Forest
EMOLGA = Forest
KARRABLAST = Forest
ESCAVALIER = Forest
FOONGUS = Forest
AMOONGUSS = Forest
FRILLISH = Sea
JELLICENT = Sea
ALOMOMOLA = Sea
JOLTIK = Cave
GALVANTULA = Cave
FERROSEED = Forest
FERROTHORN = Forest
KLINK = Urban
KLANG = Urban
KLINKLANG = Urban
TYNAMO = Sea
EELEKTRIK = Sea
EELEKTROSS = Sea
ELGYEM = Urban
BEHEEYEM = Urban
LITWICK = Urban
LAMPENT = Urban
CHANDELURE = Urban
AXEW = RoughTerrain
FRAXURE = RoughTerrain
HAXORUS = RoughTerrain
CUBCHOO = Mountain
BEARTIC = Mountain
CRYOGONAL = Mountain
SHELMET = Forest
ACCELGOR = Forest
STUNFISK = Sea
MIENFOO = Grassland
MIENSHAO = Grassland
DRUDDIGON = Cave
GOLETT = Cave
GOLURK = Cave
PAWNIARD = Mountain
BISHARP = Mountain
BOUFFALANT = Grassland
RUFFLET = Mountain
BRAVIARY = Mountain
VULLABY = RoughTerrain
MANDIBUZZ = RoughTerrain
HEATMOR = Forest
DURANT = Forest
DEINO = Cave
ZWEILOUS = Cave
HYDREIGON = Cave
LARVESTA = RoughTerrain
VOLCARONA = RoughTerrain
COBALION = Cave
TERRAKION = RoughTerrain
VIRIZION = Forest
TORNADUS = Mountain
THUNDURUS = Mountain
RESHIRAM = Rare
ZEKROM = Rare
LANDORUS = RoughTerrain
KYUREM = Cave
KELDEO = WatersEdge
MELOETTA = Urban
GENESECT = Urban
#-------------------------------
# Added Habitats to Gen 6 species.
#-------------------------------
CHESPIN = Grassland
QUILLADIN = Grassland
CHESNAUGHT = Grassland
FENNEKIN = Forest
BRAIXEN = Forest
DELPHOX = Forest
FROAKIE = WatersEdge
FROGADIER = WatersEdge
GRENINJA = WatersEdge
BUNNELBY = Grassland
DIGGERSBY = Grassland
FLETCHLING = Grassland
FLETCHINDER = Grassland
TALONFLAME = Grassland
SCATTERBUG = Forest
SPEWPA = Forest
VIVILLON = Forest
LITLEO = Grassland
PYROAR = Grassland
FLABEBE = Grassland
FLOETTE = Grassland
FLORGES = Grassland
SKIDDO = Grassland
GOGOAT = Grassland
PANCHAM = Forest
PANGORO = Forest
FURFROU = Urban
ESPURR = Urban
MEOWSTIC = Urban
HONEDGE = Urban
DOUBLADE = Urban
AEGISLASH = Urban
SPRITZEE = Forest
AROMATISSE = Forest
SWIRLIX = Urban
SLURPUFF = Urban
INKAY = Sea
MALAMAR = Sea
BINACLE = Sea
BARBARACLE = Sea
SKRELP = Sea
DRAGALGE = Sea
CLAUNCHER = Sea
CLAWITZER = Sea
HELIOPTILE = RoughTerrain
HELIOLISK = RoughTerrain
TYRUNT = RoughTerrain
TYRANTRUM = RoughTerrain
AMAURA = Mountain
AURORUS = Mountain
SYLVEON = Urban
HAWLUCHA = Urban
DEDENNE = Grassland
CARBINK = Cave
GOOMY = WatersEdge
SLIGGOO = WatersEdge
GOODRA = WatersEdge
KLEFKI = Urban
PHANTUMP = Forest
TREVENANT = Forest
PUMPKABOO = Forest
GOURGEIST = Forest
BERGMITE = Cave
AVALUGG = Cave
NOIBAT = Cave
NOIVERN = Cave
XERNEAS = Forest
YVELTAL = Mountain
ZYGARDE = Cave
DIANCIE = Cave
HOOPA = Rare
VOLCANION = Mountain
#-------------------------------
# Added Habitats to Gen 7 species.
#-------------------------------
ROWLET = Forest
DARTRIX = Forest
DECIDUEYE = Forest
LITTEN = Urban
TORRACAT = Urban
INCINEROAR = Urban
POPPLIO = WatersEdge
BRIONNE = WatersEdge
PRIMARINA = WatersEdge
PIKIPEK = Forest
TRUMBEAK = Forest
TOUCANNON = Forest
YUNGOOS = Grassland
GUMSHOOS = Grassland
GRUBBIN = Forest
CHARJABUG = Forest
VIKAVOLT = Forest
CRABRAWLER = WatersEdge
CRABOMINABLE = Mountain
ORICORIO = Grassland
CUTIEFLY = Grassland
RIBOMBEE = Grassland
ROCKRUFF = Mountain
LYCANROC = Mountain
WISHIWASHI = Sea
MAREANIE = Sea
TOXAPEX = Sea
MUDBRAY = RoughTerrain
MUDSDALE = RoughTerrain
DEWPIDER = WatersEdge
ARAQUANID = WatersEdge
FOMANTIS = Forest
LURANTIS = Forest
MORELULL = Forest
SHIINOTIC = Forest
SALANDIT = Mountain
SALAZZLE = Mountain
STUFFUL = Forest
BEWEAR = Forest
BOUNSWEET = Forest
STEENEE = Forest
TSAREENA = Forest
COMFEY = Grassland
ORANGURU = Forest
PASSIMIAN = Forest
WIMPOD = Cave
GOLISOPOD = Cave
SANDYGAST = WatersEdge
PALOSSAND = WatersEdge
PYUKUMUKU = Sea
TYPENULL = Rare
SILVALLY = Rare
MINIOR = Mountain
KOMALA = Forest
TURTONATOR = Mountain
TOGEDEMARU = Forest
MIMIKYU = Forest
BRUXISH = Sea
DRAMPA = Cave
DHELMISE = Sea
JANGMOO = Mountain
HAKAMOO = Mountain
KOMMOO = Mountain
TAPUKOKO = Mountain
TAPULELE = Urban
TAPUBULU = Grassland
TAPUFINI = WatersEdge
COSMOG = Rare
COSMOEM = Rare
SOLGALEO = Rare
LUNALA = Rare
NIHILEGO = Rare
NECROZMA = Rare
MAGEARNA = Urban
MARSHADOW = Urban
ZERAORA = Mountain
MELTAN = Urban
MELMETAL = Urban
#-------------------------------
# Added Habitats to Gen 8 species.
#-------------------------------
GROOKEY = Forest
THWACKEY = Forest
RILLABOOM = Forest
SCORBUNNY = Grassland
RABOOT = Grassland
CINDERACE = Grassland
SOBBLE = WatersEdge
DRIZZILE = WatersEdge
INTELEON = WatersEdge
SKWOVET = Forest
GREEDENT = Forest
ROOKIDEE = Grassland
CORVISQUIRE = Grassland
CORVIKNIGHT = Grassland
BLIPBUG = Grassland
DOTTLER = Grassland
ORBEETLE = Grassland
NICKIT = Grassland
THIEVUL = Grassland
GOSSIFLEUR = Grassland
ELDEGOSS = Grassland
WOOLOO = Grassland
DUBWOOL = Grassland
CHEWTLE = WatersEdge
DREDNAW = WatersEdge
YAMPER = Urban
BOLTUND = Urban
ROLYCOLY = Cave
CARKOL = Cave
COALOSSAL = Cave
APPLIN = Forest
FLAPPLE = Forest
APPLETUN = Forest
SILICOBRA = RoughTerrain
SANDACONDA = RoughTerrain
CRAMORANT = WatersEdge
ARROKUDA = Sea
BARRASKEWDA = Sea
TOXEL = Urban
TOXTRICITY = Urban
SIZZLIPEDE = RoughTerrain
CENTISKORCH = RoughTerrain
CLOBBOPUS = Sea
GRAPPLOCT = Sea
SINISTEA = Urban
POLTEAGEIST = Urban
HATENNA = Urban
HATTREM = Urban
HATTERENE = Urban
IMPIDIMP = Forest
MORGREM = Forest
GRIMMSNARL = Forest
OBSTAGOON = Grassland
PERRSERKER = Urban
CURSOLA = Sea
SIRFETCHD = Grassland
MRRIME = Urban
RUNERIGUS = Cave
MILCERY = Urban
ALCREMIE = Urban
FALINKS = RoughTerrain
PINCURCHIN = Sea
SNOM = Forest
FROSMOTH = Forest
STONJOURNER = Mountain
EISCUE = WatersEdge
INDEEDEE = Urban
MORPEKO = Forest
CUFANT = Mountain
COPPERAJAH = Mountain
DURALUDON = Mountain
DREEPY = Mountain
DRAKLOAK = Mountain
DRAGAPULT = Mountain
ZACIAN = Forest
ZAMAZENTA = Forest
ETERNATUS = Rare
KUBFU = Mountain
URSHIFU = Mountain
ZARUDE = Forest
REGIELEKI = Cave
REGIDRAGO = Cave
GLASTRIER = Grassland
SPECTRIER = Grassland
CALYREX = Forest
